Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Adnp_IP04 Spectral Count	Adnp_IP05 Spectral Count	Adnp_IP06 Spectral Count	Chd4BF_IP07 Spectral Count	Chd4BF_IP08 Spectral Count	Chd4BF_IP09 Spectral Count	RBC_ctrl_IP01 Spectral Count	RBC_ctrl_IP02 Spectral Count	RBC_ctrl_IP03 Spectral Count	Adnp_IP04 Unique Spectral Count	Adnp_IP05 Unique Spectral Count	Adnp_IP06 Unique Spectral Count	Chd4BF_IP07 Unique Spectral Count	Chd4BF_IP08 Unique Spectral Count	Chd4BF_IP09 Unique Spectral Count	RBC_ctrl_IP01 Unique Spectral Count	RBC_ctrl_IP02 Unique Spectral Count	RBC_ctrl_IP03 Unique Spectral Count	Adnp_IP04 Total Spectral Count	Adnp_IP05 Total Spectral Count	Adnp_IP06 Total Spectral Count	Chd4BF_IP07 Total Spectral Count	Chd4BF_IP08 Total Spectral Count	Chd4BF_IP09 Total Spectral Count	RBC_ctrl_IP01 Total Spectral Count	RBC_ctrl_IP02 Total Spectral Count	RBC_ctrl_IP03 Total Spectral Count	Adnp_IP04 Intensity	Adnp_IP05 Intensity	Adnp_IP06 Intensity	Chd4BF_IP07 Intensity	Chd4BF_IP08 Intensity	Chd4BF_IP09 Intensity	RBC_ctrl_IP01 Intensity	RBC_ctrl_IP02 Intensity	RBC_ctrl_IP03 Intensity	Adnp_IP04 MaxLFQ Intensity	Adnp_IP05 MaxLFQ Intensity	Adnp_IP06 MaxLFQ Intensity	Chd4BF_IP07 MaxLFQ Intensity	Chd4BF_IP08 MaxLFQ Intensity	Chd4BF_IP09 MaxLFQ Intensity	RBC_ctrl_IP01 MaxLFQ Intensity	RBC_ctrl_IP02 MaxLFQ Intensity	RBC_ctrl_IP03 MaxLFQ Intensity	Indistinguishable Proteins
sp|P49718|MCM5_MOUSE	P49718	MCM5_MOUSE	Mcm5	733	Mus musculus OX=10090	1:Experimental evidence at protein level	DNA replication licensing factor MCM5	1.0	0.999	3	8	0	8	0	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	0	0	0	0.0	5583853.5	0.0	0.0	0.0	7658827.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|Q52KC3|Q52KC3_MOUSE
sp|P51410|RL9_MOUSE	P51410	RL9_MOUSE	Rpl9	192	Mus musculus OX=10090	2:Experimental evidence at transcript level	60S ribosomal protein L9	0.7781	0.9986	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A0G2JES3|A0A0G2JES3_MOUSE, tr|A0A0G2JFQ3|A0A0G2JFQ3_MOUSE, tr|A0A140T8T4|A0A140T8T4_MOUSE, tr|D3YZT0|D3YZT0_MOUSE, tr|D3Z629|D3Z629_MOUSE, tr|S4R1R7|S4R1R7_MOUSE
sp|P51881|ADT2_MOUSE	P51881	ADT2_MOUSE	Slc25a5	298	Mus musculus OX=10090	1:Experimental evidence at protein level	ADP/ATP translocase 2	1.0	0.999	14	72	39	72	8	7	11	8	26	6	1	2	3	3	5	6	5	12	4	0	2	2	8	7	11	8	26	6	1	2	3	3.5280672E7	3.9873564E7	6.6023112E7	7.8307304E7	1.6148448E8	5.5412264E7	0.0	9444159.0	1.6832014E7	1.9597784E7	2.429315E7	3.2706878E7	4.4760396E7	7.845152E7	3.226833E7	0.0	7250560.0	1.350757E7	
sp|P52293|IMA1_MOUSE	P52293	IMA1_MOUSE	Kpna2	529	Mus musculus OX=10090	1:Experimental evidence at protein level	Importin subunit alpha-1	0.999	0.9989	2	6	6	6	0	1	1	2	0	2	0	0	0	0	1	1	2	0	2	0	0	0	0	1	1	2	0	2	0	0	0	0.0	2731856.5	756649.56	8033807.0	0.0	5876376.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P52480|KPYM_MOUSE	P52480	KPYM_MOUSE	Pkm	531	Mus musculus OX=10090	1:Experimental evidence at protein level	Pyruvate kinase PKM	1.0	0.998	3	4	1	4	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0.0	3.8729852E7	0.0	0.0	4.3666216E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P53569|CEBPZ_MOUSE	P53569	CEBPZ_MOUSE	Cebpz	1052	Mus musculus OX=10090	1:Experimental evidence at protein level	CCAAT/enhancer-binding protein zeta	0.7676	0.9985	1	2	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0.0	0.0	0.0	2862995.2	0.0	2285763.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A0R4J046|A0A0R4J046_MOUSE
sp|P54276|MSH6_MOUSE	P54276	MSH6_MOUSE	Msh6	1358	Mus musculus OX=10090	1:Experimental evidence at protein level	DNA mismatch repair protein Msh6	0.8281	0.999	1	2	2	2	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0.0	0.0	0.0	0.0	2796740.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P56183-2|RRP1_MOUSE	P56183-2	RRP1_MOUSE	Rrp1	443	Mus musculus OX=10090		Isoform 2 of Ribosomal RNA processing protein 1 homolog A	0.8306	0.999	1	5	0	5	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	2345555.8	2010296.8	1714656.1	2313416.8	0.0	1411709.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P56183-3|RRP1_MOUSE, sp|P56183|RRP1_MOUSE
sp|P56480|ATPB_MOUSE	P56480	ATPB_MOUSE	Atp5f1b	529	Mus musculus OX=10090	1:Experimental evidence at protein level	ATP synthase subunit beta, mitochondrial	1.0	0.999	7	15	15	15	1	5	0	1	4	3	0	1	0	1	5	0	1	4	3	0	1	0	1	5	0	1	4	3	0	1	0	0.0	1.2015597E7	0.0	0.0	2.0772204E7	3.3193388E7	0.0	5796566.0	0.0	0.0	9024662.0	0.0	0.0	1.1776999E7	1.1928127E7	0.0	0.0	0.0	
sp|P59178|LMBL2_MOUSE	P59178	LMBL2_MOUSE	L3mbtl2	703	Mus musculus OX=10090	1:Experimental evidence at protein level	Lethal(3)malignant brain tumor-like protein 2	1.0	0.999	17	80	4	80	0	0	0	7	70	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	70	3	0	0	0	0.0	0.0	0.0	7.3938168E7	2.08051341E9	2755781.8	0.0	0.0	0.0	0.0	0.0	0.0	3.327543E7	8.821415E8	0.0	0.0	0.0	0.0	
sp|P60122|RUVB1_MOUSE	P60122	RUVB1_MOUSE	Ruvbl1	456	Mus musculus OX=10090	1:Experimental evidence at protein level	RuvB-like 1	1.0	0.999	4	9	9	9	0	1	0	0	6	0	1	0	1	0	1	0	0	6	0	1	0	1	0	1	0	0	6	0	1	0	1	0.0	2254046.5	0.0	0.0	8644678.0	0.0	569204.7	0.0	1555565.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P60335|PCBP1_MOUSE	P60335	PCBP1_MOUSE	Pcbp1	356	Mus musculus OX=10090	1:Experimental evidence at protein level	Poly(rC)-binding protein 1	1.0	0.999	5	17	14	17	4	0	3	1	2	3	2	1	1	3	0	3	1	2	2	2	1	0	4	0	3	1	2	3	2	1	1	2.8509602E7	0.0	1.4422557E7	1.284408E7	2.1297994E7	1.0013876E7	6217774.0	4853689.0	0.0	1.6945848E7	0.0	0.0	0.0	1.232397E7	1.0213903E7	3705697.5	0.0	0.0	
sp|P60710|ACTB_MOUSE	P60710	ACTB_MOUSE	Actb	375	Mus musculus OX=10090	1:Experimental evidence at protein level	Actin, cytoplasmic 1	1.0	0.999	23	399	0	442	57	85	31	34	38	50	32	44	28	0	0	0	0	0	0	0	0	0	63	87	34	38	43	62	35	49	31	7.87384E8	2.30534477E9	3.8262736E8	5.9559974E8	9.6892768E8	1.07607194E9	3.34580768E8	5.7737523E8	4.00434592E8	3.82371584E8	1.16049613E9	1.6457744E8	2.90162816E8	4.61370272E8	5.5259923E8	1.62946432E8	2.78377184E8	2.1521024E8	sp|P63260|ACTG_MOUSE
sp|P60843|IF4A1_MOUSE	P60843	IF4A1_MOUSE	Eif4a1	406	Mus musculus OX=10090	1:Experimental evidence at protein level	Eukaryotic initiation factor 4A-I	1.0	0.999	5	21	10	21	3	8	1	2	3	3	0	0	1	2	6	0	1	0	1	0	0	0	3	8	1	2	3	3	0	0	1	2.668658E7	3.01064E7	3.0715754E7	2.0468872E7	2.8951794E7	3.1977376E7	0.0	0.0	1.4052899E7	2.2078886E7	3.939242E7	0.0	0.0	0.0	2.953961E7	0.0	0.0	0.0	
sp|P61514|RL37A_MOUSE	P61514	RL37A_MOUSE	Rpl37a	92	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L37a	1.0	0.9984	4	5	5	5	0	0	1	0	3	0	0	0	1	0	0	1	0	3	0	0	0	1	0	0	1	0	3	0	0	0	1	0.0	0.0	72276.28	0.0	872770.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P61979-2|HNRPK_MOUSE	P61979-2	HNRPK_MOUSE	Hnrnpk	464	Mus musculus OX=10090		Isoform 2 of Heterogeneous nuclear ribonucleoprotein K	1.0	0.999	3	10	0	10	1	2	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	1	2	0	0	0	3087526.2	0.0	0.0	4178539.2	1532876.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P61979-3|HNRPK_MOUSE, sp|P61979|HNRPK_MOUSE, tr|A0A286YCM2|A0A286YCM2_MOUSE, tr|A0A286YDM3|A0A286YDM3_MOUSE, tr|B2M1R6|B2M1R6_MOUSE, tr|H3BK96|H3BK96_MOUSE, tr|H3BKD0|H3BKD0_MOUSE, tr|H3BKI8|H3BKI8_MOUSE
sp|P62242|RS8_MOUSE	P62242	RS8_MOUSE	Rps8	208	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S8	1.0	0.999	4	18	18	18	4	5	2	2	3	1	1	0	0	4	5	2	2	3	1	1	0	0	4	5	2	2	3	1	1	0	0	2.9633782E7	4.357164E7	1.0761952E7	2.5473892E7	1.1702839E7	1.6537536E7	1968524.4	0.0	0.0	1.5699756E7	2.4948168E7	1.2254799E7	1.4574826E7	1.3444415E7	0.0	0.0	0.0	0.0	
sp|P62264|RS14_MOUSE	P62264	RS14_MOUSE	Rps14	151	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S14	1.0	0.9988	3	10	0	10	2	2	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	0	1	0	0	1.1808132E7	5338454.0	1.1516002E7	7591343.5	7591340.0	0.0	3195478.5	0.0	0.0	7221527.0	0.0	7179464.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P62267|RS23_MOUSE	P62267	RS23_MOUSE	Rps23	143	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S23	1.0	0.999	2	50	50	50	7	5	6	5	4	4	5	7	7	7	5	6	5	4	4	5	7	7	7	5	6	5	4	4	5	7	7	1.68391552E8	2.00573056E8	1.38574768E8	2.01345696E8	1.84613824E8	2.09529936E8	1.39784448E8	1.71556224E8	1.82924272E8	1.02623416E8	1.1974864E8	8.110052E7	1.19455864E8	1.10927824E8	1.26510152E8	8.231432E7	9.9215416E7	1.11759632E8	
sp|P62270|RS18_MOUSE	P62270	RS18_MOUSE	Rps18	152	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S18	1.0	0.999	6	76	0	76	5	9	7	10	12	15	5	7	6	0	0	0	0	0	0	0	0	0	5	9	7	10	12	15	5	7	6	5.2088992E7	6.8234968E7	5.5177392E7	1.04578464E8	1.630244E8	1.29502136E8	3.512118E7	4.0229464E7	1.03022616E8	2.5105042E7	4.7364496E7	2.8339742E7	5.6994528E7	8.6720072E7	6.9730216E7	1.9524476E7	2.103628E7	5.53733E7	tr|F6YVP7|F6YVP7_MOUSE
sp|P62274|RS29_MOUSE	P62274	RS29_MOUSE	Rps29	56	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S29	0.9999	0.9989	2	7	7	7	0	1	1	1	2	0	1	1	0	0	1	1	1	2	0	1	1	0	0	1	1	1	2	0	1	1	0	0.0	7.4687032E7	5.9182872E7	7.8209912E7	0.0	0.0	4.3817212E7	5.6369292E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P62281|RS11_MOUSE	P62281	RS11_MOUSE	Rps11	158	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S11	1.0	0.999	5	15	0	15	2	4	0	1	0	4	1	1	2	0	0	0	0	0	0	0	0	0	2	4	0	1	0	4	1	1	2	0.0	1.6888718E7	0.0	1.6784902E7	0.0	2.1171374E7	4917707.5	4886507.5	2.2571222E7	0.0	1.6619056E7	0.0	0.0	0.0	2.5408016E7	0.0	0.0	1.9112772E7	tr|A0A1B0GRR3|A0A1B0GRR3_MOUSE
sp|P62301|RS13_MOUSE	P62301	RS13_MOUSE	Rps13	151	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S13	1.0	0.999	7	44	0	44	5	8	2	7	4	8	2	2	6	0	0	0	0	0	0	0	0	0	5	8	2	7	4	8	2	2	6	4.3988616E7	9.4123152E7	1.4466101E7	7.7466216E7	4.059094E7	1.22374328E8	2.1367496E7	1.4206611E7	8.3243696E7	1.7761884E7	4.3583136E7	0.0	3.282106E7	2.5650346E7	5.4305492E7	1.2897652E7	0.0	3.6610952E7	tr|Q921R2|Q921R2_MOUSE
sp|P62702|RS4X_MOUSE	P62702	RS4X_MOUSE	Rps4x	263	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S4, X isoform	1.0	0.9989	6	22	1	22	2	5	0	5	3	4	0	1	2	0	1	0	0	0	0	0	0	0	2	5	0	5	3	4	0	1	2	8289086.5	3.2824318E7	0.0	2.8545212E7	2.2792578E7	2.1362618E7	0.0	6044599.5	3.9482156E7	0.0	2.432751E7	0.0	2.0775908E7	1.432204E7	2.7260564E7	0.0	0.0	2.7723604E7	
sp|P62754|RS6_MOUSE	P62754	RS6_MOUSE	Rps6	249	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S6	1.0	0.999	4	15	15	15	0	4	1	2	3	3	1	0	1	0	4	1	2	3	3	1	0	1	0	4	1	2	3	3	1	0	1	0.0	7.3316208E7	0.0	4.8806724E7	5.0472016E7	1.9645284E7	0.0	0.0	2.2724826E7	0.0	4.6224528E7	0.0	2.6753864E7	2.4990162E7	2.7770852E7	0.0	0.0	0.0	
sp|P62806|H4_MOUSE	P62806	H4_MOUSE	Hist1h4a	103	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone H4	1.0	0.999	23	621	621	621	101	86	98	49	82	55	51	30	69	101	86	98	49	82	55	51	30	69	101	86	98	49	82	55	51	30	69	5.0653087E9	6.9969736E9	5.9379855E9	2.59771699E9	6.8288113E9	2.37470643E9	1.14361062E9	9.8307936E8	1.63836237E9	1.8744215E9	2.25381888E9	2.35395098E9	1.05432518E9	2.47616358E9	1.02844704E9	4.98829088E8	3.98437728E8	9.8965107E8	
sp|P62827|RAN_MOUSE	P62827	RAN_MOUSE	Ran	216	Mus musculus OX=10090	1:Experimental evidence at protein level	GTP-binding nuclear protein Ran	1.0	0.999	6	29	11	29	6	4	3	4	8	1	1	2	0	2	2	2	1	2	0	1	1	0	6	4	3	4	8	1	1	2	0	6.776816E7	5.7411984E7	4.603138E7	3.8056556E7	1.1449456E8	1.3864379E7	6505824.5	1.5739236E7	0.0	2.816896E7	2.3113748E7	2.7776526E7	2.6097062E7	6.682426E7	0.0	0.0	8161705.0	0.0	
sp|P62830|RL23_MOUSE	P62830	RL23_MOUSE	Rpl23	140	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L23	1.0	0.999	4	19	7	19	2	4	2	2	2	2	1	1	3	0	2	0	1	2	1	0	0	1	2	4	2	2	2	2	1	1	3	3.5505492E7	8.5329056E7	3.0593424E7	3.8113104E7	0.0	5.07792E7	1.4415484E7	1.8543944E7	5.1618592E7	0.0	7.580144E7	0.0	3.6077084E7	7.4465072E7	4.9301712E7	0.0	0.0	4.8244408E7	
sp|P62843|RS15_MOUSE	P62843	RS15_MOUSE	Rps15	145	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S15	1.0	0.999	3	8	4	8	0	2	0	2	3	1	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	2	3	1	0	0	0	0.0	1.3364836E7	0.0	1.147931E7	6953198.0	4261670.5	0.0	0.0	0.0	0.0	7545114.0	0.0	0.0	6953198.0	0.0	0.0	0.0	0.0	
sp|P62849-2|RS24_MOUSE	P62849-2	RS24_MOUSE	Rps24	130	Mus musculus OX=10090		Isoform 2 of 40S ribosomal protein S24	0.7713	0.9985	1	13	0	13	1	1	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	1	1	2	2	2	2	1	1	1	1.170554E7	3.4175472E7	1.6642551E7	2.8869004E7	3.7023892E7	5.3437528E7	1.7604248E7	1.9221422E7	2.3274298E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P62849-3|RS24_MOUSE, sp|P62849|RS24_MOUSE, tr|A0A286YEB7|A0A286YEB7_MOUSE
sp|P62852|RS25_MOUSE	P62852	RS25_MOUSE	Rps25	125	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S25	0.6717	0.9976	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1.5603723E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A1L1SQA8|A0A1L1SQA8_MOUSE
sp|P62889|RL30_MOUSE	P62889	RL30_MOUSE	Rpl30	115	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L30	0.6289	0.9971	1	3	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0.0	8483454.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A2I3BQF4|A0A2I3BQF4_MOUSE
sp|P62892|RL39_MOUSE	P62892	RL39_MOUSE	Rpl39	51	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L39	0.7647	0.9985	1	23	23	23	3	3	3	3	2	2	3	2	2	3	3	3	3	2	2	3	2	2	3	3	3	3	2	2	3	2	2	8.068288E7	1.40370112E8	1.24948808E8	1.61321168E8	1.70018848E8	1.44452768E8	9.2544496E7	5.6669068E7	3.1598974E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P62900|RL31_MOUSE	P62900	RL31_MOUSE	Rpl31	125	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L31	0.7669	0.9985	1	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0.0	5705008.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A0A6YX26|A0A0A6YX26_MOUSE, tr|A0A0A6YXL3|A0A0A6YXL3_MOUSE
sp|P62960|YBOX1_MOUSE	P62960	YBOX1_MOUSE	Ybx1	322	Mus musculus OX=10090	1:Experimental evidence at protein level	Nuclease-sensitive element-binding protein 1	1.0	0.999	7	19	2	19	2	7	2	1	6	1	0	0	0	0	0	1	0	1	0	0	0	0	2	7	2	1	6	1	0	0	0	1906363.9	4286700.5	2899681.5	2205285.2	3110871.5	3099383.2	0.0	0.0	0.0	0.0	2.291294E7	0.0	0.0	1.6584966E7	0.0	0.0	0.0	0.0	
sp|P62996|TRA2B_MOUSE	P62996	TRA2B_MOUSE	Tra2b	288	Mus musculus OX=10090	1:Experimental evidence at protein level	Transformer-2 protein homolog beta	0.8283	0.999	1	4	0	4	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0.0	0.0	8199564.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|F8WJG3|F8WJG3_MOUSE
sp|P63017|HSP7C_MOUSE	P63017	HSP7C_MOUSE	Hspa8	646	Mus musculus OX=10090	1:Experimental evidence at protein level	Heat shock cognate 71 kDa protein	1.0	0.999	27	313	22	313	27	35	38	38	99	41	11	12	12	2	2	4	2	7	2	1	1	1	27	35	38	38	99	41	11	12	12	1.7360048E8	2.22990464E8	2.16561056E8	2.64265152E8	9.0642995E8	2.68160752E8	5.2068372E7	6.062666E7	7.910184E7	8.6247456E7	9.234688E7	1.08555752E8	1.54260896E8	4.82572736E8	1.48062608E8	1.7963798E7	2.4727512E7	4.2311288E7	
sp|P63037|DNJA1_MOUSE	P63037	DNJA1_MOUSE	Dnaja1	397	Mus musculus OX=10090	1:Experimental evidence at protein level	DnaJ homolog subfamily A member 1	1.0	0.9988	2	2	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0.0	0.0	0.0	0.0	1.1435585E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P63038|CH60_MOUSE	P63038	CH60_MOUSE	Hspd1	573	Mus musculus OX=10090	1:Experimental evidence at protein level	60 kDa heat shock protein, mitochondrial	0.8173	0.9989	1	2	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	6825449.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P63242|IF5A1_MOUSE	P63242	IF5A1_MOUSE	Eif5a	154	Mus musculus OX=10090	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 5A-1	0.8263	0.999	1	3	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	3968318.0	3390068.5	0.0	0.0	3578834.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q8BGY2|IF5A2_MOUSE, tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE
sp|P63276|RS17_MOUSE	P63276	RS17_MOUSE	Rps17	135	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S17	1.0	0.999	1	6	6	6	0	1	0	1	3	1	0	0	0	0	1	0	1	3	1	0	0	0	0	1	0	1	3	1	0	0	0	0.0	1.0515731E7	0.0	1.1181191E7	1.1035284E7	1.1288613E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P68033|ACTC_MOUSE	P68033	ACTC_MOUSE	Actc1	377	Mus musculus OX=10090	1:Experimental evidence at protein level	Actin, alpha cardiac muscle 1	1.0	0.999	18	69	0	266	6	16	3	7	8	16	3	7	3	0	0	0	0	0	0	0	0	0	34	63	17	21	27	41	20	29	14	2.1986726E7	0.0	5819576.5	3196427.2	1.0263848E7	1.0410832E7	5012739.0	8293872.0	2.3095098E7	5.6803348E7	6.423766E7	1.748682E7	1.2171497E7	2.8879868E7	2.8199058E7	1.4877929E7	1.8751192E7	6.5718332E7	sp|P68134|ACTS_MOUSE
sp|P68372|TBB4B_MOUSE	P68372	TBB4B_MOUSE	Tubb4b	445	Mus musculus OX=10090	1:Experimental evidence at protein level	Tubulin beta-4B chain	1.0	0.9986	12	15	7	95	3	4	1	1	2	4	0	0	0	1	2	0	1	1	2	0	0	0	11	20	3	10	16	20	7	5	3	0.0	2.7059974E7	0.0	3.7769388E7	3.1713614E7	6.3836752E7	0.0	0.0	0.0	0.0	1.7921926E7	0.0	0.0	2.133261E7	3.6080756E7	0.0	0.0	0.0	
sp|P68433|H31_MOUSE	P68433	H31_MOUSE	Hist1h3a	136	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone H3.1	1.0	0.999	13	224	0	224	39	41	33	30	23	18	10	12	18	0	0	0	0	0	0	0	0	0	39	41	33	30	23	18	10	12	18	5.7600497E9	8.1878231E9	6.5980974E9	4.03897139E9	7.2914217E9	2.92326835E9	9.6151258E8	8.9257786E8	1.8956768E9	2.69242419E9	3.57335731E9	2.99383552E9	1.78487232E9	3.18639334E9	1.27552397E9	7.1141837E8	5.5643027E8	1.57988122E9	sp|P84228|H32_MOUSE, tr|A0A1W2P768|A0A1W2P768_MOUSE
sp|P70288|HDAC2_MOUSE	P70288	HDAC2_MOUSE	Hdac2	488	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone deacetylase 2	1.0	0.999	31	208	0	441	5	4	11	91	14	83	0	0	0	0	0	0	0	0	0	0	0	0	11	9	23	191	30	175	1	1	0	3.4286892E7	4.401048E7	1.33106872E8	3.08282598E9	2.60952496E8	2.63079347E9	0.0	0.0	0.0	1.0748453E7	1.6683811E7	5.5435808E7	1.34697037E9	1.05772832E8	1.15041254E9	0.0	0.0	0.0	tr|A0A0R4J008|A0A0R4J008_MOUSE
sp|P70324-2|TBX3_MOUSE	P70324-2	TBX3_MOUSE	Tbx3	721	Mus musculus OX=10090		Isoform 2 of T-box transcription factor TBX3	1.0	0.9982	4	15	0	15	1	1	3	2	1	3	1	2	1	0	0	0	0	0	0	0	0	0	1	1	3	2	1	3	1	2	1	4590591.5	0.0	4421690.0	1.1527279E7	0.0	9464757.0	4313795.5	6882221.0	8106569.5	0.0	0.0	5849069.0	0.0	0.0	0.0	0.0	9103637.0	0.0	sp|P70324|TBX3_MOUSE
sp|P70696|H2B1A_MOUSE	P70696	H2B1A_MOUSE	Hist1h2ba	127	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone H2B type 1-A	0.9998	0.9989	12	1	1	204	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	32	20	45	26	32	22	6	10	11	0.0	1.3277089E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P80315|TCPD_MOUSE	P80315	TCPD_MOUSE	Cct4	539	Mus musculus OX=10090	1:Experimental evidence at protein level	T-complex protein 1 subunit delta	0.6746	0.9976	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|G5E839|G5E839_MOUSE
